id,upso_num,upso_name,dong_name,address,area,tell_num,upjong,code,item,price,check_date,gu_name
3198,1.55E+12,동성관,자양동,서울특별시 광진구 뚝섬로52가길 3 (자양동),,02-444-9080,중식,1.42E+12,자장면,5000,00:00.0,광진구
3199,1.55E+12,동성관,자양동,서울특별시 광진구 뚝섬로52가길 3 (자양동),,02-444-9080,중식,1.42E+12,탕수육,20000,00:00.0,광진구
3200,1.55E+12,동성관,자양동,서울특별시 광진구 뚝섬로52가길 3 (자양동),,02-444-9080,중식,1.42E+12,짬뽕,7000,00:00.0,광진구
3201,1.53E+12,요리왕,중곡동,서울특별시 광진구 긴고랑로13길 66 (중곡동 연리지),,02-3409-4421,한식,1.42E+12,갈비탕,6000,00:00.0,광진구
3202,1.53E+12,요리왕,중곡동,서울특별시 광진구 긴고랑로13길 66 (중곡동 연리지),,02-3409-4421,중식,1.42E+12,자장면,3000,00:00.0,광진구
3203,1.53E+12,요리왕,중곡동,서울특별시 광진구 긴고랑로13길 66 (중곡동 연리지),,02-3409-4421,중식,1.42E+12,탕수육,16000,00:00.0,광진구
3204,1.53E+12,요리왕,중곡동,서울특별시 광진구 긴고랑로13길 66 (중곡동 연리지),,02-3409-4421,중식,1.42E+12,짬뽕,3500,00:00.0,광진구
3205,1.53E+12,전설의 짬뽕,구의동,서울특별시 광진구 자양로43길 42 (구의동),,02-458-2189,중식,1.42E+12,자장면,4500,00:00.0,광진구
3206,1.53E+12,전설의 짬뽕,구의동,서울특별시 광진구 자양로43길 42 (구의동),,02-458-2189,중식,1.42E+12,탕수육,18000,00:00.0,광진구
3207,1.53E+12,전설의 짬뽕,구의동,서울특별시 광진구 자양로43길 42 (구의동),,02-458-2189,중식,1.42E+12,짬뽕,7000,00:00.0,광진구
3208,1.52E+12,중국관,중곡동,서울특별시 광진구 긴고랑로 39 (중곡동),,02-406-1563,중식,1.42E+12,자장면,3000,00:00.0,광진구
3209,1.52E+12,중국관,중곡동,서울특별시 광진구 긴고랑로 39 (중곡동),,02-406-1563,중식,1.42E+12,탕수육,17000,00:00.0,광진구
